"age","birthSex","profile_education_level","ethnicity_new","ethnicity_new1617","w2_voted","w2_vb15","ScotPcon2014","w2_uk10"
68,"Female","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Perthshire South and Kinross-shire",2
73,"Male","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Ettrick, Roxburgh and Berwickshire",2
55,"Female","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","East Kilbride",4
72,"Female","City & Guilds certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","East Kilbride",1
67,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Moray",2
54,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Midlothian South, Tweeddale and Lauderdale",2
73,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Aberdeenshire West",2
59,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Ayr",4
73,"Male","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Motherwell and Wishaw",2
72,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Eastwood",2
64,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Kirkcaldy",3
57,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Falkirk West",2
45,"Male","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Clydesdale",2
42,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Aberdeenshire East",4
60,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dumfriesshire",2
55,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Argyll and Bute",1
47,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Rutherglen",1
53,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Northern and Leith",1
64,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Aberdeen Central",2
62,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Eastern",1
50,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"East Lothian",2
42,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Edinburgh Northern and Leith",2
54,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Any other White background",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Linlithgow",1
33,"Male","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"East Kilbride",3
68,"Female","Teaching qualification (not degree)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Kilmarnock and Irvine Valley",2
31,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Northern and Leith",1
53,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Aberdeen Donside",2
26,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Family Party","Glasgow Anniesland",2
68,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Dumfriesshire",2
71,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","East Kilbride",2
50,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Glasgow Anniesland",1
46,"Male","GCE A level or Higher Certificate","Prefer not to say",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Clackmannanshire and Dunblane",2
58,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Greenock and Inverclyde",1
33,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Don't know","Edinburgh Northern and Leith",4
74,"Male","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Clackmannanshire and Dunblane",2
68,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Western",2
73,"Male","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Falkirk West",2
62,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Aberdeen South and North Kincardine",4
78,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Moray",4
65,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Glasgow Maryhill and Springburn",2
75,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Strathkelvin and Bearsden",2
26,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Some other party","Skye, Lochaber and Badenoch",1
64,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Edinburgh Western",2
55,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Dumfriesshire",2
68,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Linlithgow",4
41,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Pentlands",1
38,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Greenock and Inverclyde",2
59,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Caithness, Sutherland and Ross",1
71,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Central",1
70,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Orkney Islands",1
69,"Male","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Galloway and West Dumfries",2
28,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Cunninghame North",2
55,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Glasgow Provan",1
42,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Provan",1
56,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Clydesdale",2
70,"Female","Prefer not to say","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Clydesdale",1
44,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Southern",2
62,"Male","City & Guilds certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Mid Fife and Glenrothes",1
40,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Orkney Islands",2
67,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Prefer not to say",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Carrick, Cumnock and Doon Valley",3
44,"Male","GCE A level or Higher Certificate","Any other White background",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Angus North and Mearns",2
70,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Argyll and Bute",3
55,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Paisley",1
61,"Male","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","All for Unity","Cumbernauld and Kilsyth",2
63,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Kirkcaldy",2
25,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Aberdeen Donside",1
56,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dundee City East",2
33,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Inverness and Nairn",1
56,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dundee City East",4
62,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dundee City East",2
48,"Male","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Aberdeen South and North Kincardine",1
49,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Dundee City East",1
57,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Greenock and Inverclyde",1
70,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Kilmarnock and Irvine Valley",2
74,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","UK Independence Party (UKIP)","Angus North and Mearns",2
64,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Skye, Lochaber and Badenoch",1
77,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Banffshire and Buchan Coast",2
35,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Anniesland",1
78,"Male","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Almond Valley",2
68,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Northern and Leith",1
71,"Male","City & Guilds certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Caithness, Sutherland and Ross",1
48,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Edinburgh Western",1
65,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","East Lothian",4
69,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Paisley",1
74,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I thought about voting in the Scottish Parliament election but in the end I didn’t",NA,"Ayr",2
74,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","North East Fife",2
58,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","North East Fife",2
36,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Aberdeen Donside",2
35,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Central",1
39,"Male","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Any other White background",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Edinburgh Central",1
43,"Male","Recognised trade apprenticeship completed","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","All for Unity","Clydesdale",4
71,"Male","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Kirkcaldy",1
54,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Skye, Lochaber and Badenoch",2
55,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Edinburgh Eastern",2
75,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Perthshire South and Kinross-shire",2
71,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Edinburgh Eastern",2
70,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Rutherglen",2
27,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Prefer not to say",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Glasgow Kelvin",4
66,"Female","Teaching qualification (not degree)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Aberdeenshire East",1
67,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Clydesdale",2
51,"Male","GCE A level or Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Glasgow Pollok",1
41,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Glasgow Pollok",1
49,"Male","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Galloway and West Dumfries",1
74,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Kirkcaldy",1
73,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I usually vote but didn’t this time",NA,"Angus South",2
68,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Edinburgh Pentlands",1
56,"Male","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Perthshire South and Kinross-shire",1
53,"Male","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Eastwood",2
56,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Any other White background",NA,"I definitely voted in the Scottish Parliament election",NA,"Coatbridge and Chryston",2
66,"Female","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Orkney Islands",1
41,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Stirling",2
64,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Alba Party","Kilmarnock and Irvine Valley",1
55,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Rutherglen",2
72,"Male","University diploma","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Carrick, Cumnock and Doon Valley",1
27,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Inverness and Nairn",4
71,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Clackmannanshire and Dunblane",2
68,"Female","Clerical and commercial","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dumfriesshire",2
59,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Galloway and West Dumfries",2
65,"Female","Prefer not to say","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Ayr",1
34,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Clydesdale",3
62,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Glasgow Southside",4
70,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Midlothian South, Tweeddale and Lauderdale",2
59,"Female","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Banffshire and Buchan Coast",2
56,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Falkirk West",1
67,"Male","City & Guilds certificate - advanced","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Edinburgh Western",2
73,"Male","Teaching qualification (not degree)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Glasgow Kelvin",2
56,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Inverness and Nairn",2
60,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Prefer not to say",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Cowdenbeath",2
58,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Falkirk West",1
64,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Eastwood",2
51,"Female","CSE grade 1, GCE O level, GCSE, School Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Falkirk West",2
62,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Linlithgow",2
62,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Pentlands",2
31,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Midlothian North and Musselburgh",1
70,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Ettrick, Roxburgh and Berwickshire",2
65,"Male","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Stirling",2
39,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","East Kilbride",1
66,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Greens","Renfrewshire North and West",4
70,"Male","No formal qualifications","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Dumfriesshire",2
69,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Midlothian North and Musselburgh",1
51,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election",NA,"Rutherglen",2
49,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Liberal Democrat","Almond Valley",4
57,"Female","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Midlothian South, Tweeddale and Lauderdale",1
49,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Edinburgh Northern and Leith",2
68,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","All for Unity","Dumfriesshire",2
49,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I did not vote in the Scottish Parliament election on 6th May",NA,"Glasgow Anniesland",3
61,"Female","Scottish Higher Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Carrick, Cumnock and Doon Valley",2
64,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Aberdeenshire East",4
71,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Kirkcaldy",2
81,"Male","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Ettrick, Roxburgh and Berwickshire",2
46,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Dundee City East",2
50,"Male","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Angus North and Mearns",1
58,"Female","University or CNAA higher degree (e.g. M.Sc, Ph.D)","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Conservative and Unionist","Stirling",2
62,"Female","Scottish Ordinary/ Lower Certificate","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish Labour","Midlothian South, Tweeddale and Lauderdale",2
31,"Female","Other technical, professional or higher qualification","English / Welsh / Scottish / Northern Irish / British",NA,"I definitely voted in the Scottish Parliament election","Scottish National Party","Galloway and West Dumfries",4
